#OTU ID	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9
746436	0	2	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	3	2	5	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7
746679	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	2	0	0	1
74685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
749837	0	189	33	0	5	0	27	52	1	186	85	17	9	2	2	4	0	3	322	33	54	5	1	6	68	20	198	17	2259	2	26	510	215	18	163	26	3	56	130	512	80	22	2679	20	69	296	1	14	0	0	0	511	0	54	42
751207	0	8	3	29	3	4	0	0	27	9	7	3	3	24	3	14	9	7	197	261	493	26	6	2	0	1209	3	3	9	8	1	0	2	38	0	0	0	0	1064	0	0	2	54	2	0	0	0	2	2	0	0	6	12	0	0
751360	1	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	19	4	22	1	0	0	0	2	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	13	0	0
752012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
752685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
753638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
754684	0	1	0	0	7	19	0	0	0	7	2	0	0	0	0	0	0	0	3	5	0	1	9	0	0	0	0	0	9	17	1	0	1	0	1	3	0	0	0	0	0	0	23	24	0	2	0	0	0	0	0	0	3	0	0
754911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0
757005	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	4	0	0	0	0	0
757622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1	0	0	1	1	0	0	0	0	2	19	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
757998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
758928	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
759061	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	3	0	0	14	0	0
759265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
759349	1	0	0	0	0	0	0	0	1	0	0	0	0	7	2	0	2	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	11	2	2	2	2	0	0	0	0
