Family	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Erythrobacteraceae	0	0.01	0.00667	0	0	0	0	0	0	0.0167	0.02	0	0.00667	0	0	0	0	0.00333	0.07	0.0133	0.0633	0	0	0	0	0.0133	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.00333	0	0	0.00333	0.00667	0	0	0	0.00333	0	0	0.00333	0	0.00667	0.0467	0	0	0.3
Gemmatimonadaceae	0	0	0.00667	0.00333	0	0	0	0	0.00667	0	0.00333	0	0.01	0.00667	0	0	0	0	0.00667	0.0267	0.0167	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0.0767	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193	0	0	0.2
Brucellaceae	0	0.0133	0.01	0	0	0.01	0	0	0	0.0133	0.0367	0	0	0	0	0	0.00667	0	0.08	0.00667	0.0733	0	0	0	0	0.00667	0	0	0	0	0	0	0	0.00667	0	0	0	0	0.00667	0	0	0	0.01	0	0	0	0.00333	0	0	0.01	0	0.01	0.0333	0	0.00333	0.2
Dermabacteraceae	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0.00333	0	0	0	0	0	0.2
Cardiobacteriaceae	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0.0233	0	0	0.0633	0	0	0.00333	0.0133	0.00333	0	0	0.00667	0.00333	0	0	0	0.127	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.2
Clostridiales_vadinBB60_group	0	0.01	0.00667	0	0.07	0	0	0	0	0.0567	0	0	0	0	0	0	0	0	0.117	0.02	0.05	0	0.00667	0.00667	0	0	0	0	0.0333	0.06	0	0	0.00667	0	0.03	0.00667	0	0	0	0	0	0	0.223	0.07	0.00333	0.01	0	0	0	0	0	0	0.02	0	0	0.2
Defluviitaleaceae	0	0	0.0133	0	0.00333	0.00333	0.00333	0	0	0.0133	0.00333	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0.00333	0	0.00333	0.00667	0.00333	0	0	0.00333	0	0.00333	0	0	0	0.00333	0	0.00333	0.0167	0.01	0.00667	0	0	0	0	0	0	0	0	0	0	0.00333	0.2
Opitutaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667	0	0	0.2
Helicobacteraceae	0	0	0	0.02	0.00667	16.3	0.0133	0.0967	0	0.00333	0	0	0	0	0	0	0	0	0.0233	0.00667	0.0133	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0	0	0.00667	0	0	0	0	0	0	0	0.00333	0.00333	0.00333	0	0	0	0	0	0	0	0	0	0	0.2
Vibrionaceae	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.0167	0.00667	0.0167	0	0	0	0	0	0	0	0	0	0	0.00667	0.00333	0.0133	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.2
