DATASET_HEATMAP
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#fb9a99
COLOR_MAX	#1f78b4
COLOR_MIN	#e5e5e5
COLOR_NAN	#FFFFFF
DATASET_LABEL	OTUID
FIELD_LABELS	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9
LEGEND_COLORS	#e5e5e5	#1f78b4
LEGEND_LABELS	Min. (0)	Max. (20485)
LEGEND_SHAPES	1	1
LEGEND_TITLE	OTUID
MARGIN	5
STRIP_WIDTH	50
DATA
ASV_67	15	492	246	0	2	32	2525	116	1	53	27	5	5	0	0	1	0	0	142	31	53	3	2	132	5	2	0	1	9	5	0	0	10	3	20	0	86	11	1	0	0	0	204	11	0	0	0	0	0	0	0	0	0	1242	80
ASV_71	0	2	298	0	561	427	0	4	0	59	106	7	0	0	0	0	0	0	97	4	14	0	33	0	1	0	0	0	12	537	2	10	79	0	141	16	0	0	0	0	0	4	9	692	15	109	0	0	0	0	0	22	72	0	0
ASV_70	0	223	455	0	6	188	0	0	0	457	189	5	2	0	0	0	0	1	120	30	107	1	7	0	0	1	130	40	477	9	0	0	245	0	256	3	0	0	9	158	294	17	346	10	1	84	0	0	0	0	1	2	8	0	0
ASV_62	1	4	0	33	3	0	0	0	25	4	10	3	1	10	1	4	4	3	162	283	630	22	1	0	0	1823	0	2	3	4	0	0	0	23	0	0	0	0	691	0	0	2	24	2	0	1	0	0	3	0	1	2	0	0	0
ASV_69	0	8	3052	0	8	358	1	3	0	677	637	16	0	0	0	0	0	0	45	4	14	20	43	0	0	12	0	0	20	13	0	0	158	17	579	13	1	0	50	1	0	5	50	16	2	2	0	0	0	0	0	1	72	0	1
ASV_65	10	0	0	1	0	0	1	0	18	0	0	0	139	6	2	0	7	15	10	15	30	11	0	0	0	85	0	0	1	0	0	0	0	16	0	0	0	0	33	0	0	3	1	0	0	0	8	10	6	12	16	0	2913	0	0
ASV_68	0	0	0	6	0	4901	4	29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_74	0	30	913	7	32	179	0	0	0	526	215	12	0	0	0	0	4	2	200	42	42	39	47	2	0	19	0	2	108	21	1	4	198	35	451	8	0	0	30	0	16	260	252	48	1	85	0	0	1	0	0	2	41	0	0
ASV_77	0	0	94	0	0	0	0	0	6	993	1235	2314	192	1	7	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
ASV_93	0	0	128	1	3	1	516	1280	0	84	12	3	29	0	0	0	2	0	0	0	0	2	8	7	225	3	0	8	0	12	0	1	14	0	16	18	17	207	28	0	9	26	3	9	1	38	0	1	0	0	0	0	18	267	374
ASV_82	0	29	187	0	32	689	6	12	0	274	186	4	0	0	0	0	0	0	61	37	21	2	51	0	4	2	0	0	25	27	1	1	671	3	923	15	0	0	1	0	0	0	210	10	1	50	0	0	0	0	0	16	47	6	12
ASV_80	0	123	402	0	0	7	1	1	0	760	486	39	95	0	0	0	0	0	39	12	13	6	26	0	2	12	1	0	25	1	0	0	652	1	397	21	1	1	2	2	0	0	351	0	0	0	0	0	0	0	0	0	0	4	0
ASV_81	0	0	22	0	0	0	0	0	0	404	3780	208	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
