	AS1	AS2	AS3	SD1	SD2	SD3	SD4	SD5	SD6	SD8	SD9
816702	0	0	0	0	0	0	0	0.285714285714286	19	0	1.57142857142857
817176	3.75	0	0	2	1.25	1.25	1.25	2	0	0	0
817507	0	0	0	1.66666666666667	0	0.666666666666667	2	0	0	0	0
818052	4.2	0	0	5.2	3.4	4	5.2	5.4	0	0	0
818468	0.4	0	0	0	0.4	0.8	0.4	0	0	0	0
819999	0	0	0	1	0	0	0	0.333333333333333	8	0	0.5
821562	0.75	0	0	0.5	0	0.5	0	0	0	0	0
823036	6.33333333333333	0	0	7.22222222222222	4.77777777777778	5	4.11111111111111	3.66666666666667	0	0	0
823690	0.4	0	0	0	0	0.8	0.2	0	0	0	0
825661	0	0	0	0	0	0.8	0.4	1.2	0	0	0
828667	8.25	0	0	7.75	4.25	8.25	12	6.75	0	0	0
831178	0	0	0	0	0	0.5	0.5	0	0	0	0.5
831834	0.2	0	0	0.6	0.3	0.6	0.2	0.2	0	0	0
833022	0.6	0	0	1.2	0.6	0.9	1.4	0.5	0	0	0
834767	1	0	0	2.71428571428571	0.571428571428571	1.71428571428571	1.57142857142857	1.28571428571429	0	0	0
836094	9.3	0	0	10.5	10	8.6	9.6	6.4	0	0	0
838207	0	0	0	1	1.33333333333333	2	1	1.66666666666667	0	0	0
839152	0	0	0	0	0.333333333333333	0.333333333333333	1.33333333333333	0	0	0	0
840291	3.16666666666667	1	0	4.5	5.66666666666667	6.16666666666667	6.16666666666667	5.83333333333333	1.83333333333333	0	0
840905	0	2	1.33333333333333	0	0	0	0	0	4.33333333333333	0	0
851704	0	4.57142857142857	30.7142857142857	0	0	0	0	0	6.57142857142857	0	0
851824	0	1.66666666666667	9.33333333333333	0	0	0	0	0	91.6666666666667	0	13.6666666666667
851938	2	26.3333333333333	24.6666666666667	0	0	0	0	0	89.3333333333333	73.3333333333333	30.6666666666667
858896	0	0	1	0	0	0	0	0	8.75	5.75	5
859700	0	1.6	1.4	0	0	0	0	0	3.4	0.8	0.4
863124	0	2	0	0	0	0	0	0	6.5	1.5	0
864465	0	1.5	0	0	0	0	0	0	4.25	3.75	1.75
864640	0	1	0	0	0	0	0	0	0.5	3.25	0.75
865469	0	2	4.16666666666667	0	0	0	0	0	0.333333333333333	5	0.833333333333333
871442	0	2.75	1.5	0	0	0	0	0	5.5	0.5	0
872004	0	2.5	0	0	0	0	0	0	1	0.833333333333333	0
876114	0	65.6	2	2.6	45.8	0	0	0	0	0	0
878474	0	0	23.6	0	0	0	0	0	0	5.4	117.4
879972	0	1.2	1.6	0	0	0	0	0	2.4	1.2	0.4
894774	1.5	0	0	1.7	1	1.6	0.9	1.1	0	0	0
897007	13.6	0	0	19.6	13	15	12.4	8.6	0	0	0
898309	0	205	13.5	0	0	0.5	0	0	4067.25	0.5	29.75
898611	0	3.5	0.75	0	0	0	0	0	4.25	0	0
90335	0	2	0	0	0.666666666666667	0	0	0	5.33333333333333	0	0.666666666666667
903686	0	3	1.2	0	0	0	0	0	0	26.2	2.8
91024	1.25	0	0	0.5	0	0.75	1.25	0.5	0	0	0
